"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_features","batch_size","conv_activation","data_dir","dense_activation","dropout","early_terminate.min_iter","early_terminate.type","filter_size","img_size","in_channels","include_batchnorm","input_size","lr","max_epochs","method","metric.goal","metric.name","num_classes","num_dense","num_layers","num_workers","padding","parameters.base_featuress","parameters.batch_sizes","parameters.conv_activations","parameters.data_dir","parameters.dense_activations","parameters.dropouts","parameters.filter_sizes","parameters.img_size","parameters.in_channels","parameters.include_batchnorms","parameters.input_size","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.max_epochs","parameters.num_classes","parameters.num_denses","parameters.num_layers","parameters.num_workers","parameters.padding","parameters.pooling_k","parameters.strategys","parameters.stride","parameters.use_augmentations","pooling_k","program","run_cap","strategy","stride","use_augmentation","epoch","train_accuracy","train_f1_class_cardboard","train_f1_class_glass","train_f1_class_metal","train_f1_class_paper","train_f1_class_plastic","train_f1_class_trash","train_loss_epoch","train_loss_step","train_precision_class_cardboard","train_precision_class_glass","train_precision_class_metal","train_precision_class_paper","train_precision_class_plastic","train_precision_class_trash","train_recall_class_cardboard","train_recall_class_glass","train_recall_class_metal","train_recall_class_paper","train_recall_class_plastic","train_recall_class_trash","trainer/global_step","val_accuracy","val_f1_class_cardboard","val_f1_class_glass","val_f1_class_metal","val_f1_class_paper","val_f1_class_plastic","val_f1_class_trash","val_loss","val_precision_class_cardboard","val_precision_class_glass","val_precision_class_metal","val_precision_class_paper","val_precision_class_plastic","val_precision_class_trash","val_recall_class_cardboard","val_recall_class_glass","val_recall_class_metal","val_recall_class_paper","val_recall_class_plastic","val_recall_class_trash"
"apricot-sweep-50","","true","crashed","-","","","2025-12-13T19:51:08.000Z","112","rzpn3bhn","64","16","mish","data","gelu","0.3","","","5","128","3","true","128","0.0012173256707395325","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","18","0.7308750748634338","0.8204225301742554","0.672153651714325","0.6818181872367859","0.8117249011993408","0.6871345043182373","0.6185566782951355","0.7006092667579651","0.6926954984664917","0.8381295204162598","0.6639566421508789","0.7039711475372314","0.782608687877655","0.6973294019699097","0.625","0.8034482598304749","0.6805555820465088","0.6610169410705566","0.8430913090705872","0.6772334575653076","0.6122449040412903","2059","0.7516629695892334","0.8358209133148193","0.738916277885437","0.6928104758262634","0.8599033951759338","0.6582278609275818","0.5957446694374084","0.7455612421035767","0.9032257795333862","0.6637167930603027","0.6625000238418579","0.8811880946159363","0.7222222089767456","0.6086956262588501","0.7777777910232544","0.8333333134651184","0.7260273694992065","0.8396226167678833","0.604651153087616","0.5833333134651184"
"astral-sweep-49","","true","finished","-","","","2025-12-13T19:50:10.000Z","55","rzpn3bhn","64","64","silu","data","relu","0.4","","","5","128","3","false","128","0.0006003441144358289","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","10","0.6593285799026489","0.8041236996650696","0.6045272946357727","0.5646258592605591","0.748314619064331","0.6180665493011475","0.4479166567325592","0.9018589854240416","0.7885988354682922","0.801369845867157","0.5805626511573792","0.5665528774261475","0.7192224860191345","0.6866196990013123","0.457446813583374","0.8068965673446655","0.6305555701255798","0.5627118349075317","0.7798594832420349","0.5619596838951111","0.43877550959587097","309","0.6119734048843384","0.7967479825019836","0.5524861812591553","0.4354838728904724","0.6693227291107178","0.6229507923126221","0.44999998807907104","1.050575852394104","0.9607843160629272","0.5494505763053894","0.529411792755127","0.5793103575706482","0.5876288414001465","0.5625","0.6805555820465088","0.5555555820465088","0.36986300349235535","0.7924528121948242","0.6627907156944275","0.375"
"sweet-sweep-48","","true","finished","-","","","2025-12-13T19:48:32.000Z","91","rzpn3bhn","64","64","silu","data","silu","0.3","","","5","128","3","true","128","0.00021128640576969452","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","false","19","0.920198142528534","0.9452054500579834","0.9200561046600342","0.8896434903144836","0.9499418139457704","0.8988439440727234","0.8832487463951111","0.234653040766716","0.3235853612422943","0.9387755393981934","0.9291784763336182","0.8911564350128174","0.9444444179534912","0.9014492630958556","0.8787878751754761","0.951724112033844","0.9111111164093018","0.8881356120109558","0.955503523349762","0.8962535858154297","0.8877550959587097","579","0.7849224209785461","0.8571428656578064","0.7471264600753784","0.7532467246055603","0.8743718862533569","0.7164179086685181","0.75","0.7114083170890808","1","0.773809552192688","0.7160493731498718","0.9354838728904724","0.626086950302124","0.75","0.75","0.7222222089767456","0.7945205569267273","0.8207547068595886","0.8372092843055725","0.75"
"cerulean-sweep-47","","false","finished","-","","","2025-12-13T19:44:53.000Z","211","rzpn3bhn","64","16","silu","data","gelu","0.3","","","5","128","3","false","128","0.00019507089785133125","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","false","19","0.9548706412315368","0.9708404541015624","0.9473684430122375","0.9493243098258972","0.9579439163208008","0.9446064233779908","0.9743589758872986","0.12486651539802553","0.15014617145061493","0.9658703207969666","0.9447513818740844","0.946127951145172","0.9557109475135804","0.9557521939277648","0.9793814420700072","0.9758620858192444","0.949999988079071","0.9525423645973206","0.9601873755455016","0.9337176084518432","0.9693877696990968","2279","0.6962305903434753","0.8226950168609619","0.6048780679702759","0.6716417670249939","0.7731958627700806","0.6892655491828918","0.5098039507865906","1.528834581375122","0.8405796885490417","0.539130449295044","0.7377049326896667","0.8522727489471436","0.6703296899795532","0.48148149251937866","0.8055555820465088","0.6888889074325562","0.6164383292198181","0.7075471878051758","0.7093023061752319","0.5416666865348816"
"colorful-sweep-46","","false","finished","-","","","2025-12-13T19:43:09.000Z","97","rzpn3bhn","64","32","silu","data","gelu","0.3","","","5","128","3","true","128","0.00010576115887423078","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","false","19","0.8981838226318359","0.9399656653404236","0.8590971231460571","0.8786324858665466","0.9578454494476318","0.8708272576332092","0.8125","0.3064264953136444","0.16656385362148285","0.935153603553772","0.8463611602783203","0.8862069249153137","0.9578454494476318","0.8771929740905762","0.8297872543334961","0.9448275566101074","0.8722222447395325","0.8711864352226257","0.9578454494476318","0.8645533323287964","0.795918345451355","1139","0.762749433517456","0.800000011920929","0.7298578023910522","0.7692307829856873","0.8241205811500549","0.739130437374115","0.6551724076271057","0.759166955947876","1","0.6363636255264282","0.8771929740905762","0.8817204236984253","0.6938775777816772","0.5588235259056091","0.6666666865348816","0.855555534362793","0.6849315166473389","0.7735849022865295","0.7906976938247681","0.7916666865348816"
"glad-sweep-45","","true","finished","-","","","2025-12-13T19:41:46.000Z","80","rzpn3bhn","32","32","mish","data","gelu","0.4","","","5","128","3","false","128","0.000909528481751228","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","doubling","1","false","17","0.8200330138206482","0.8854166865348816","0.7761194109916687","0.7554805874824524","0.9118329286575316","0.7674074172973633","0.764397919178009","0.5007333159446716","0.30359363555908203","0.8916084170341492","0.7586206793785095","0.7516778707504272","0.9034482836723328","0.7896341681480408","0.7849462628364563","0.8793103694915771","0.7944444417953491","0.7593220472335815","0.9203746914863586","0.7463976740837097","0.7448979616165161","969","0.6851441264152527","0.7846153974533081","0.6459627151489258","0.6385542154312134","0.8118811845779419","0.5968586206436157","0.5384615659713745","1.0941487550735474","0.8793103694915771","0.7323943376541138","0.5698924660682678","0.8541666865348816","0.5428571701049805","0.5","0.7083333134651184","0.5777778029441833","0.7260273694992065","0.7735849022865295","0.6627907156944275","0.5833333134651184"
"logical-sweep-44","","false","finished","-","","","2025-12-13T19:40:15.000Z","87","rzpn3bhn","64","64","gelu","data","gelu","0.4","","","5","128","3","true","128","0.0002484545831182042","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","halving","1","true","19","0.5305448770523071","0.758169949054718","0.344725102186203","0.3921568691730499","0.6297070980072021","0.5539358854293823","0.2054794579744339","1.1793205738067627","1.278780221939087","0.7204968929290771","0.37060701847076416","0.4135338366031647","0.5689980983734131","0.5604719519615173","0.3125","0.800000011920929","0.3222222328186035","0.37288135290145874","0.7049180269241333","0.5475504398345947","0.15306122601032257","579","0.3946785032749176","0.5454545617103577","0.02083333395421505","0","0.5251396894454956","0.4453781545162201","0.15789473056793213","1.6253948211669922","1","0.1666666716337204","0","0.3730158805847168","0.3486842215061188","0.2142857164144516","0.375","0.011111111380159857","0","0.8867924809455872","0.6162790656089783","0.125"
"good-sweep-43","","true","finished","-","","","2025-12-13T19:39:18.000Z","50","rzpn3bhn","64","32","mish","data","gelu","0.5","","","5","128","3","false","128","0.00029993155548673286","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","true","8","0.6141992211341858","0.7713786959648132","0.5087014436721802","0.5503597259521484","0.7249466776847839","0.5537974834442139","0.39361703395843506","1.0226690769195557","0.9181390404701232","0.7809187173843384","0.4909560680389404","0.5862069129943848","0.6653620600700378","0.6140350699424744","0.41111111640930176","0.7620689868927002","0.5277777910232544","0.5186440944671631","0.7962529063224792","0.5043227672576904","0.37755101919174194","499","0.5920177102088928","0.7424242496490479","0.49438202381134033","0.42335766553878784","0.7063829898834229","0.5521472096443176","0.5964912176132202","1.0801327228546145","0.8166666626930237","0.5","0.453125","0.643410861492157","0.5844155550003052","0.5151515007019043","0.6805555820465088","0.4888888895511627","0.3972602784633637","0.7830188870429993","0.5232558250427246","0.7083333134651184"
"dashing-sweep-42","","true","finished","-","","","2025-12-13T19:38:07.000Z","66","rzpn3bhn","64","64","mish","data","relu","0.4","","","5","128","3","false","128","0.0004461366291537721","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","halving","1","true","16","0.5079801678657532","0.7559808492660522","0.2996845543384552","0.36220473051071167","0.607897162437439","0.4933530390262604","0.020202020183205605","1.2339413166046145","1.1171692609786987","0.7032641172409058","0.3467153310775757","0.43192487955093384","0.5","0.5060606002807617","1","0.817241370677948","0.2638888955116272","0.3118644058704376","0.7751756310462952","0.4812680184841156","0.010204081423580648","489","0.48558759689331055","0.6849315166473389","0.283687949180603","0.41830065846443176","0.5970149040222168","0.42424243688583374","0.13793103396892548","1.2463260889053345","0.6756756901741028","0.3921568691730499","0.4000000059604645","0.4938271641731262","0.4430379867553711","0.4000000059604645","0.6944444179534912","0.2222222238779068","0.4383561611175537","0.7547169923782349","0.4069767296314239","0.0833333358168602"
"lilac-sweep-41","","true","finished","-","","","2025-12-13T19:37:12.000Z","51","rzpn3bhn","32","64","mish","data","gelu","0.2","","","5","128","3","false","128","0.00010667524247707372","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","","same","1","false","13","0.5701705813407898","0.7244898080825806","0.4326530694961548","0.4741533100605011","0.6905028223991394","0.5490196347236633","0.4166666567325592","1.068002462387085","1.0870020389556885","0.7147650718688965","0.42399999499320984","0.5","0.6602563858032227","0.5759493708610535","0.42553192377090454","0.7344827651977539","0.4416666626930237","0.4508474469184875","0.7236533761024475","0.5244956612586975","0.4081632792949677","389","0.5476718544960022","0.6753246784210205","0.375","0.469565212726593","0.6831682920455933","0.5428571701049805","0.39344263076782227","1.1612545251846311","0.6341463327407837","0.4285714328289032","0.6428571343421936","0.71875","0.45967742800712585","0.3243243098258972","0.7222222089767456","0.3333333432674408","0.36986300349235535","0.650943398475647","0.6627907156944275","0.5"
